ERROR! Row ['DET', '0001950550TGB64', '215159322', 'F', '02/08/2017', '45', '29.37', '0.33', '', 'X', ''] of file: X:\NRD\2017\201709\EIEP3_ICPHH\CYPH_E_OTPO_ICPHH_201708_20170918_0001950550TGB64_M01.txt already existed in dictionary
ERROR! Row ['DET', '0001950550TGB64', '215159322', 'F', '02/08/2017', '46', '30.09', '0.29', '', 'X', ''] of file: X:\NRD\2017\201709\EIEP3_ICPHH\CYPH_E_OTPO_ICPHH_201708_20170918_0001950550TGB64_M01.txt already existed in dictionary
ERROR! Row ['DET', '0001950550TGB64', '215159322', 'F', '02/08/2017', '47', '31.84', '0.56', '', 'X', ''] of file: X:\NRD\2017\201709\EIEP3_ICPHH\CYPH_E_OTPO_ICPHH_201708_20170918_0001950550TGB64_M01.txt already existed in dictionary
ERROR! Row ['DET', '0001950550TGB64', '215159322', 'F', '02/08/2017', '48', '32.97', '0.86', '', 'X', ''] of file: X:\NRD\2017\201709\EIEP3_ICPHH\CYPH_E_OTPO_ICPHH_201708_20170918_0001950550TGB64_M01.txt already existed in dictionary
ERROR! Row ['DET', '0001950550TGB64', '215159322', 'F', '03/08/2017', '1', '30.58', '0.21', '', 'X', ''] of file: X:\NRD\2017\201709\EIEP3_ICPHH\CYPH_E_OTPO_ICPHH_201708_20170918_0001950550TGB64_M01.txt already existed in dictionary
ERROR! Row ['DET', '0001950550TGB64', '215159322', 'F', '03/08/2017', '2', '32.37', '0.48', '', 'X', ''] of file: X:\NRD\2017\201709\EIEP3_ICPHH\CYPH_E_OTPO_ICPHH_201708_20170918_0001950550TGB64_M01.txt already existed in dictionary
ERROR! Row ['DET', '0001950550TGB64', '215159322', 'F', '03/08/2017', '3', '34.24', '0.59', '', 'X', ''] of file: X:\NRD\2017\201709\EIEP3_ICPHH\CYPH_E_OTPO_ICPHH_201708_20170918_0001950550TGB64_M01.txt already existed in dictionary
ERROR! Row ['DET', '0001950550TGB64', '215159322', 'F', '03/08/2017', '4', '33.21', '0.61', '', 'X', ''] of file: X:\NRD\2017\201709\EIEP3_ICPHH\CYPH_E_OTPO_ICPHH_201708_20170918_0001950550TGB64_M01.txt already existed in dictionary
ERROR! Row ['DET', '0001950550TGB64', '215159322', 'F', '03/08/2017', '5', '33.79', '0.51', '', 'X', ''] of file: X:\NRD\2017\201709\EIEP3_ICPHH\CYPH_E_OTPO_ICPHH_201708_20170918_0001950550TGB64_M01.txt already existed in dictionary
ERROR! Row ['DET', '0001950550TGB64', '215159322', 'F', '03/08/2017', '6', '31.91', '0.3', '', 'X', ''] of file: X:\NRD\2017\201709\EIEP3_ICPHH\CYPH_E_OTPO_ICPHH_201708_20170918_0001950550TGB64_M01.txt already existed in dictionary
